
& $1\%$ & 1.67$\pm$0.06 & 1.68$\pm$0.06 & 1.67$\pm$0.06 & 1.67$\pm$0.06 & 1.66$\pm$0.05 & 1.66$\pm$0.05 & 1.67$\pm$0.06 & 1.67$\pm$0.05 & 1.68$\pm$0.05 & 1.67$\pm$0.05 & 1.67$\pm$0.05\\\cline{2-13}
& $2\%$ & 1.64$\pm$0.05 & 1.65$\pm$0.05 & 1.66$\pm$0.06 & 1.67$\pm$0.06 & 1.67$\pm$0.06 & 1.66$\pm$0.06 & 1.68$\pm$0.05 & 1.68$\pm$0.05 & 1.68$\pm$0.06 & 1.70$\pm$0.06 & 1.71$\pm$0.06\\\cline{2-13}
& $3\%$ & 1.68$\pm$0.05 & 1.69$\pm$0.06 & 1.69$\pm$0.06 & 1.70$\pm$0.06 & 1.68$\pm$0.05 & 1.70$\pm$0.06 & 1.69$\pm$0.06 & 1.68$\pm$0.06 & 1.70$\pm$0.06 & 1.71$\pm$0.06 & 1.69$\pm$0.06\\\cline{2-13}
& $4\%$ & 1.70$\pm$0.06 & 1.69$\pm$0.06 & 1.71$\pm$0.06 & 1.68$\pm$0.05 & 1.70$\pm$0.05 & 1.69$\pm$0.05 & 1.70$\pm$0.05 & 1.69$\pm$0.05 & 1.69$\pm$0.05 & 1.69$\pm$0.05 & 1.69$\pm$0.05\\\cline{2-13}
& $5\%$ & 1.67$\pm$0.05 & 1.67$\pm$0.06 & 1.66$\pm$0.05 & 1.68$\pm$0.06 & 1.68$\pm$0.06 & 1.69$\pm$0.06 & 1.69$\pm$0.06 & 1.68$\pm$0.06 & 1.70$\pm$0.06 & 1.70$\pm$0.06 & 1.72$\pm$0.06\\\cline{2-13}
& $6\%$ & 1.67$\pm$0.06 & 1.70$\pm$0.06 & 1.70$\pm$0.06 & 1.71$\pm$0.06 & 1.71$\pm$0.06 & 1.72$\pm$0.06 & 1.72$\pm$0.06 & 1.72$\pm$0.06 & 1.72$\pm$0.06 & 1.71$\pm$0.06 & 1.71$\pm$0.06\\\cline{2-13}
& $7\%$ & 1.68$\pm$0.06 & 1.70$\pm$0.06 & 1.70$\pm$0.06 & 1.69$\pm$0.06 & 1.70$\pm$0.06 & 1.70$\pm$0.06 & 1.70$\pm$0.06 & 1.69$\pm$0.06 & 1.69$\pm$0.06 & 1.69$\pm$0.06 & 1.69$\pm$0.05\\\cline{2-13}
& $8\%$ & 1.66$\pm$0.06 & 1.67$\pm$0.06 & 1.66$\pm$0.06 & 1.66$\pm$0.05 & 1.67$\pm$0.06 & 1.68$\pm$0.06 & 1.70$\pm$0.06 & 1.70$\pm$0.06 & 1.70$\pm$0.06 & 1.69$\pm$0.06 & 1.70$\pm$0.06\\\cline{2-13}
& $9\%$ & 1.65$\pm$0.06 & 1.65$\pm$0.06 & 1.70$\pm$0.07 & 1.68$\pm$0.06 & 1.68$\pm$0.06 & 1.67$\pm$0.06 & 1.69$\pm$0.06 & 1.69$\pm$0.06 & 1.70$\pm$0.06 & 1.69$\pm$0.06 & 1.67$\pm$0.06\\\cline{2-13}
& $10\%$ & 1.65$\pm$0.06 & 1.66$\pm$0.06 & 1.66$\pm$0.06 & 1.67$\pm$0.06 & 1.67$\pm$0.06 & 1.69$\pm$0.06 & 1.68$\pm$0.06 & 1.68$\pm$0.06 & 1.68$\pm$0.06 & 1.69$\pm$0.06 & 1.69$\pm$0.06\\\cline{2-13}
