
& $1\%$ & 2.74$\pm$0.10 & 2.74$\pm$0.10 & 2.72$\pm$0.10 & 2.78$\pm$0.11 & 2.75$\pm$0.10 & 2.75$\pm$0.10 & 2.72$\pm$0.10 & 2.73$\pm$0.10 & 2.71$\pm$0.10 & 2.73$\pm$0.10\\\cline{2-12}
& $2\%$ & 2.72$\pm$0.09 & 2.70$\pm$0.09 & 2.68$\pm$0.09 & 2.69$\pm$0.09 & 2.66$\pm$0.09 & 2.67$\pm$0.09 & 2.68$\pm$0.09 & 2.66$\pm$0.09 & 2.66$\pm$0.09 & 2.67$\pm$0.09\\\cline{2-12}
& $3\%$ & 2.70$\pm$0.10 & 2.70$\pm$0.10 & 2.72$\pm$0.10 & 2.72$\pm$0.10 & 2.71$\pm$0.10 & 2.70$\pm$0.10 & 2.71$\pm$0.10 & 2.71$\pm$0.09 & 2.70$\pm$0.10 & 2.71$\pm$0.10\\\cline{2-12}
& $4\%$ & 2.68$\pm$0.09 & 2.66$\pm$0.09 & 2.66$\pm$0.09 & 2.67$\pm$0.09 & 2.63$\pm$0.09 & 2.66$\pm$0.09 & 2.64$\pm$0.09 & 2.63$\pm$0.09 & 2.61$\pm$0.09 & 2.63$\pm$0.09\\\cline{2-12}
& $5\%$ & 2.68$\pm$0.09 & 2.68$\pm$0.09 & 2.68$\pm$0.09 & 2.69$\pm$0.09 & 2.64$\pm$0.09 & 2.65$\pm$0.09 & 2.65$\pm$0.09 & 2.65$\pm$0.09 & 2.66$\pm$0.09 & 2.65$\pm$0.09\\\cline{2-12}
& $6\%$ & 2.66$\pm$0.09 & 2.68$\pm$0.09 & 2.64$\pm$0.08 & 2.64$\pm$0.08 & 2.63$\pm$0.08 & 2.61$\pm$0.08 & 2.61$\pm$0.08 & 2.62$\pm$0.08 & 2.59$\pm$0.08 & 2.60$\pm$0.08\\\cline{2-12}
& $7\%$ & 2.68$\pm$0.09 & 2.66$\pm$0.09 & 2.64$\pm$0.09 & 2.64$\pm$0.09 & 2.63$\pm$0.08 & 2.62$\pm$0.08 & 2.62$\pm$0.08 & 2.63$\pm$0.08 & 2.63$\pm$0.09 & 2.62$\pm$0.09\\\cline{2-12}
& $8\%$ & 2.67$\pm$0.09 & 2.67$\pm$0.09 & 2.67$\pm$0.09 & 2.67$\pm$0.09 & 2.65$\pm$0.09 & 2.66$\pm$0.09 & 2.64$\pm$0.08 & 2.64$\pm$0.08 & 2.63$\pm$0.08 & 2.65$\pm$0.09\\\cline{2-12}
& $9\%$ & 2.71$\pm$0.09 & 2.67$\pm$0.09 & 2.67$\pm$0.09 & 2.65$\pm$0.08 & 2.63$\pm$0.08 & 2.64$\pm$0.08 & 2.65$\pm$0.08 & 2.62$\pm$0.08 & 2.63$\pm$0.08 & 2.63$\pm$0.08\\\cline{2-12}
& $10\%$ & 2.68$\pm$0.09 & 2.66$\pm$0.09 & 2.67$\pm$0.09 & 2.66$\pm$0.09 & 2.66$\pm$0.09 & 2.64$\pm$0.08 & 2.64$\pm$0.08 & 2.63$\pm$0.08 & 2.63$\pm$0.08 & 2.62$\pm$0.08\\\cline{2-12}
