
& $1\%$ & 2.68$\pm$0.08 & 2.69$\pm$0.09 & 2.70$\pm$0.09 & 2.68$\pm$0.08 & 2.67$\pm$0.08 & 2.68$\pm$0.09 & 2.69$\pm$0.09 & 2.68$\pm$0.08 & 2.69$\pm$0.09 & 2.70$\pm$0.09\\\cline{2-12}
& $2\%$ & 2.68$\pm$0.09 & 2.68$\pm$0.09 & 2.68$\pm$0.09 & 2.67$\pm$0.08 & 2.68$\pm$0.09 & 2.69$\pm$0.09 & 2.69$\pm$0.09 & 2.69$\pm$0.08 & 2.68$\pm$0.08 & 2.67$\pm$0.08\\\cline{2-12}
& $3\%$ & 2.65$\pm$0.08 & 2.65$\pm$0.08 & 2.64$\pm$0.08 & 2.64$\pm$0.08 & 2.64$\pm$0.08 & 2.64$\pm$0.08 & 2.65$\pm$0.08 & 2.64$\pm$0.08 & 2.64$\pm$0.08 & 2.63$\pm$0.08\\\cline{2-12}
& $4\%$ & 2.68$\pm$0.09 & 2.68$\pm$0.09 & 2.66$\pm$0.09 & 2.66$\pm$0.09 & 2.68$\pm$0.09 & 2.68$\pm$0.09 & 2.69$\pm$0.09 & 2.69$\pm$0.09 & 2.71$\pm$0.09 & 2.68$\pm$0.09\\\cline{2-12}
& $5\%$ & 2.67$\pm$0.08 & 2.66$\pm$0.08 & 2.68$\pm$0.08 & 2.68$\pm$0.09 & 2.67$\pm$0.08 & 2.65$\pm$0.08 & 2.65$\pm$0.08 & 2.65$\pm$0.08 & 2.65$\pm$0.08 & 2.66$\pm$0.08\\\cline{2-12}
& $6\%$ & 2.71$\pm$0.09 & 2.70$\pm$0.09 & 2.72$\pm$0.09 & 2.73$\pm$0.09 & 2.70$\pm$0.09 & 2.72$\pm$0.09 & 2.70$\pm$0.09 & 2.67$\pm$0.08 & 2.71$\pm$0.09 & 2.70$\pm$0.09\\\cline{2-12}
& $7\%$ & 2.70$\pm$0.09 & 2.72$\pm$0.09 & 2.70$\pm$0.09 & 2.72$\pm$0.09 & 2.70$\pm$0.09 & 2.68$\pm$0.09 & 2.68$\pm$0.08 & 2.67$\pm$0.08 & 2.67$\pm$0.08 & 2.69$\pm$0.09\\\cline{2-12}
& $8\%$ & 2.68$\pm$0.09 & 2.67$\pm$0.08 & 2.67$\pm$0.09 & 2.69$\pm$0.09 & 2.66$\pm$0.09 & 2.67$\pm$0.09 & 2.66$\pm$0.09 & 2.67$\pm$0.09 & 2.67$\pm$0.09 & 2.67$\pm$0.09\\\cline{2-12}
& $9\%$ & 2.71$\pm$0.09 & 2.73$\pm$0.09 & 2.72$\pm$0.09 & 2.73$\pm$0.09 & 2.70$\pm$0.09 & 2.71$\pm$0.09 & 2.70$\pm$0.09 & 2.72$\pm$0.09 & 2.71$\pm$0.09 & 2.70$\pm$0.09\\\cline{2-12}
& $10\%$ & 2.71$\pm$0.09 & 2.72$\pm$0.09 & 2.73$\pm$0.09 & 2.70$\pm$0.09 & 2.68$\pm$0.09 & 2.69$\pm$0.09 & 2.69$\pm$0.09 & 2.69$\pm$0.09 & 2.70$\pm$0.09 & 2.70$\pm$0.09\\\cline{2-12}
